,city,name,url,image_url,score,description
177,uzes,UZES APPART HOTEL Résidence Le Mas des Oliviers,booking.com/hotel/fr/le-mas-des-oliviers-ulv.fr.html?sid=3131b626c4dc699e06a5aab8dc8dfc40,https://cf.bstatic.com/xdata/images/hotel/square200/37727716.jpg?k=c6df475bca5ec3bf8631b4ec69884f9f719228155c64aadef229ef2f748abbad&o=,7.7,"Décoré dans un style provençal, l'UZES APPART HOTEL Résidence Le Mas des Oliviers est situé à 500 mètres du centre d'Uzès et à 1 km de la cathédrale de la ville. "
178,uzes,Le trente trois,booking.com/hotel/fr/le-trente-trois.fr.html?sid=3131b626c4dc699e06a5aab8dc8dfc40,https://cf.bstatic.com/xdata/images/hotel/square200/92960487.jpg?k=80f9d9390b73271973c31fd0a639834a973ce92a9510a671798f9edcb9bc1179&o=,9.2,"Offrant une vue sur le jardin, Le trente trois propose des hébergements à Uzès. Une connexion Wi-Fi est disponible gratuitement. "
179,uzes,Le Mas du Lac,booking.com/hotel/fr/le-mas-du-lac.fr.html?sid=3131b626c4dc699e06a5aab8dc8dfc40,https://cf.bstatic.com/xdata/images/hotel/square200/290683930.jpg?k=936097eb41a1adbec7336b0bbf4d621c23bf46d4a6bbc7856c3108de974ddd19&o=,8.5,"Situé dans un parc arboré à 4 km du centre d'Uzés, Le Mas du Lac est une chambre d'hôtes occupant un bâtiment restauré du XVIe siècle. Vous aurez accès à une piscine extérieure ouverte en saison. "
180,avignon,Hôtel Le Bristol,booking.com/hotel/fr/hotel-bristol-avignon.fr.html?sid=d8b6709b2aab0fd40724e375270157ca,https://cf.bstatic.com/xdata/images/hotel/square200/269716051.jpg?k=3e7ae138ef218906014b69dc873c9388e7aeec3429337b4e9a9c8c90a1808661&o=,8.1,"Idéalement situé à l’intérieur des remparts du centre d’Avignon, l’Hôtel Le Bristol vous propose des chambres climatisées, un bar, une connexion Wi-Fi gratuite et un salon commun. "
181,avignon,ibis budget Avignon Centre,booking.com/hotel/fr/ibis-budget-avignon-centre.fr.html?sid=d8b6709b2aab0fd40724e375270157ca,https://cf.bstatic.com/xdata/images/hotel/square200/248082238.jpg?k=85c3831121159192a52bec52c2a4efc5219e94196577202631e0d2bec2a4e38f&o=,7.8,"Situé à Avignon, l'ibis budget Avignon Centre propose une connexion Wi-Fi gratuite, à 30 minutes de route d'Orange et du pont du Gard, ainsi qu'à 1,3 km du palais des papes. "
182,avignon,Best Western Hôtel Le Paradou Avignon Sud.,booking.com/hotel/fr/paradouavignon.fr.html?sid=d8b6709b2aab0fd40724e375270157ca,https://cf.bstatic.com/xdata/images/hotel/square200/40926437.jpg?k=f120a2f0f6cb1f65cff0b2b19f46f968f0e08ee4ff737854cabf98401189c4dd&o=,7.9,"Situé dans un parc à Avignon Sud-Montfavet, le Best Western Hôtel Le Paradou Avignon Sud. propose une connexion Wi-Fi gratuite disponible dans l'ensemble de l'établissement. "
183,avignon,Hôtel Central,booking.com/hotel/fr/central-avignon.fr.html?sid=d8b6709b2aab0fd40724e375270157ca,https://cf.bstatic.com/xdata/images/hotel/square200/308430698.jpg?k=2bcd4d928b597561965b5c683fd3d2e4013f4f2163e2ac264159c2823d81d6b2&o=,8.1,"Situé au cœur de la vieille ville d'Avignon, l'Hôtel Central propose des chambres confortables avec une connexion Wi-Fi gratuite. Un jardin et un bar sont disponibles sur place. "
184,avignon,Kyriad Avignon - Palais des Papes,booking.com/hotel/fr/kyriad-avignon-palais-des-papes-xml.fr.html?sid=d8b6709b2aab0fd40724e375270157ca,https://cf.bstatic.com/xdata/images/hotel/square200/197082303.jpg?k=149557bc8dd70d65b349432e5c4369a2ea7df8ca87727b365da17d2345b0b201&o=,8.2,"Le Kyriad Avignon - Palais des Papes vous accueille sur la place de l'Horloge, dans la zone piétonne du centre historique d'Avignon. "
185,avignon,hotelF1 Avignon Centre Courtine gare TGV,booking.com/hotel/fr/hotelf1-avignon-centre-courtine-gare-tgv.fr.html?sid=d8b6709b2aab0fd40724e375270157ca,https://cf.bstatic.com/xdata/images/hotel/square200/297579837.jpg?k=3904f77d205c7bda77a02d0c055249c7d853ed9740b1eede11839096c9e6911c&o=,6.7,"L'hotelF1 Avignon Centre Courtine gare TGV se trouve à Avignon, à 2,9 km du palais des Papes et à 3 km du pont d'Avignon. "
186,avignon,Premiere Classe Avignon Courtine Gare TGV,booking.com/hotel/fr/premiere-classe-avignon-courtine.fr.html?sid=d8b6709b2aab0fd40724e375270157ca,https://cf.bstatic.com/xdata/images/hotel/square200/251839225.jpg?k=72d2e5e2441f88870413239ec18a48e1d049d06ff51f5c9a9e80316c97861bda&o=,6.0,"Situé à 1 km de la gare d'Avignon, le Premiere Classe Avignon Courtine Gare TGV - Courtine Gare se trouve à 6 km du centre-ville. "
